ID_ALQUILER;DIA_ALQUILER;A��O_R;MES_RENTA;CUATRI_RENTA;TITULO_PELICULA;DESCRIPCION;A�;LENGUAJE;LENGUAJE_ORIGINAL;TIEMPO_RENTA;CLASIFICACION;DIRECCION;CITY;CODIGO_POSTAL;TELEFONO;NOMBRE_APELLIDO_CLIENTE;EMAIL_CLIENTE;NOMBRE Y APELLIDO PERSONAL;EMAIL_PERSONAL;USERNAME;DIA_DEVOLUCION;MONTO;FECHA_PAGO;ULTIMA ACTUALIZACION;;;;
1;24/5/2005;2005;5;2;BLANKET BEVERLY;A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria;2006;English;NULL;7;G;47 MySakila Drive;Lethbridge;82639;9,35449E+11;CHARLOTTE HUNTER;CHARLOTTE.HUNTER@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;26/5/2005;2.99;24/5/2005;15/2/2006;;CUATRI_RENTA;(Todas);
2;24/5/2005;2005;5;2;FREAKY POCUS;A Fast-Paced Documentary of a Pastry Chef And a Crocodile who must Chase a Squirrel in The Gulf of Mexico;2006;English;NULL;7;R;28 MySQL Boulevard;Woodridge;23343;7,62362E+11;TOMMY COLLAZO;TOMMY.COLLAZO@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;28/5/2005;2.99;24/5/2005;15/2/2006;;;;
3;24/5/2005;2005;5;2;GRADUATE LORD;A Lacklusture Epistle of a Girl And a A Shark who must Meet a Mad Scientist in Ancient China;2006;English;NULL;7;G;28 MySQL Boulevard;Woodridge;35575;3,59479E+11;MANUEL MURRELL;MANUEL.MURRELL@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;1/6/2005;3.99;24/5/2005;15/2/2006;;Cuenta de MONTO;Etiquetas de columna;
4;24/5/2005;2005;5;2;LOVE SUICIDES;A Brilliant Panorama of a Hunter And a Explorer who must Pursue a Dentist in An Abandoned Fun House;2006;English;NULL;6;R;47 MySakila Drive;Lethbridge;57828;1,19501E+11;ANDREW PURDY;ANDREW.PURDY@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;3/6/2005;4.99;24/5/2005;15/2/2006;;Etiquetas de fila;5;Total general
5;24/5/2005;2005;5;2;IDOLS SNATCHERS;A Insightful Drama of a Car And a Composer who must Fight a Man in A Monastery;2006;English;NULL;5;NC-17;28 MySQL Boulevard;Woodridge;73431;5,16331E+11;DELORES HANSEN;DELORES.HANSEN@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;2/6/2005;6.99;24/5/2005;15/2/2006;;Lethbridge;498;498
6;24/5/2005;2005;5;2;MYSTIC TRUMAN;A Epic Yarn of a Teacher And a Hunter who must Outgun a Explorer in Soviet Georgia;2006;English;NULL;5;NC-17;47 MySakila Drive;Lethbridge;77642;84794532510;NELSON CHRISTENSON;NELSON.CHRISTENSON@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;27/5/2005;0.99;24/5/2005;15/2/2006;;AARON SELBY;2;2
7;24/5/2005;2005;5;2;SWARM GOLD;A Insightful Panorama of a Crocodile And a Boat who must Conquer a Sumo Wrestler in A MySQL Convention;2006;English;NULL;4;PG-13;28 MySQL Boulevard;Woodridge;75090;6,85011E+11;CASSANDRA WALTERS;CASSANDRA.WALTERS@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;29/5/2005;1.99;24/5/2005;15/2/2006;;ADAM GOOCH;1;1
8;24/5/2005;2005;5;2;LAWLESS VISION;A Insightful Yarn of a Boy And a Sumo Wrestler who must Outgun a Car in The Outback;2006;English;NULL;6;G;47 MySakila Drive;Lethbridge;22236;63937119031;MINNIE ROMERO;MINNIE.ROMERO@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;27/5/2005;4.99;24/5/2005;15/2/2006;;ADRIAN CLARY;1;1
9;25/5/2005;2005;5;2;MATRIX SNOWMAN;A Action-Packed Saga of a Womanizer And a Woman who must Overcome a Student in California;2006;English;NULL;6;PG-13;47 MySakila Drive;Lethbridge;66255;5,82835E+11;ELLEN SIMPSON;ELLEN.SIMPSON@sakilacustomer.org;Mike Hillyer;Mike.Hillyer@sakilastaff.com;Mike;28/5/2005;4.99;25/5/2005;15/2/2006;;AGNES BISHOP;1;1
10;25/5/2005;2005;5;2;HANGING DEEP;A Action-Packed Yarn of a Boat And a Crocodile who must Build a Monkey in Berlin;2006;English;NULL;5;G;28 MySQL Boulevard;Woodridge;30586;2,80579E+11;DANNY ISOM;DANNY.ISOM@sakilacustomer.org;Jon Stephens;Jon.Stephens@sakilastaff.com;Jon;31/5/2005;5.99;25/5/2005;15/2/2006;;ALAN KAHN;1;1
