ID_ALQUILER,DIA_ALQUILER,AÑO_RENTA,MES_RENTA,CUATRI_RENTA,TITULO_PELICULA,DESCRIPCION,AÑO,LENGUAJE,LENGUAJE_ORIGINAL,TIEMPO_RENTA,CLASIFICACION,DIRECCION,CITY,CODIGO_POSTAL,TELEFONO,NOMBRE_APELLIDO_CLIENTE,EMAIL_CLIENTE,"NOMBRE Y APELLIDO PERSONAL",EMAIL_PERSONAL,USERNAME,DIA_DEVOLUCION,MONTO,FECHA_PAGO,"ULTIMA ACTUALIZACION"
1,2005-05-24,2005,5,2,"BLANKET BEVERLY","A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria",2006,English,NULL,7,G,"47 MySakila Drive",Lethbridge,82639,935448624185,"CHARLOTTE HUNTER",CHARLOTTE.HUNTER@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-26,2.99,2005-05-24,2006-02-15
2,2005-05-24,2005,5,2,"FREAKY POCUS","A Fast-Paced Documentary of a Pastry Chef And a Crocodile who must Chase a Squirrel in The Gulf of Mexico",2006,English,NULL,7,R,"28 MySQL Boulevard",Woodridge,23343,762361821578,"TOMMY COLLAZO",TOMMY.COLLAZO@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-28,2.99,2005-05-24,2006-02-15
3,2005-05-24,2005,5,2,"GRADUATE LORD","A Lacklusture Epistle of a Girl And a A Shark who must Meet a Mad Scientist in Ancient China",2006,English,NULL,7,G,"28 MySQL Boulevard",Woodridge,35575,359478883004,"MANUEL MURRELL",MANUEL.MURRELL@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-06-01,3.99,2005-05-24,2006-02-15
4,2005-05-24,2005,5,2,"LOVE SUICIDES","A Brilliant Panorama of a Hunter And a Explorer who must Pursue a Dentist in An Abandoned Fun House",2006,English,NULL,6,R,"47 MySakila Drive",Lethbridge,57828,119501405123,"ANDREW PURDY",ANDREW.PURDY@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-06-03,4.99,2005-05-24,2006-02-15
5,2005-05-24,2005,5,2,"IDOLS SNATCHERS","A Insightful Drama of a Car And a Composer who must Fight a Man in A Monastery",2006,English,NULL,5,NC-17,"28 MySQL Boulevard",Woodridge,73431,516331171356,"DELORES HANSEN",DELORES.HANSEN@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-06-02,6.99,2005-05-24,2006-02-15
6,2005-05-24,2005,5,2,"MYSTIC TRUMAN","A Epic Yarn of a Teacher And a Hunter who must Outgun a Explorer in Soviet Georgia",2006,English,NULL,5,NC-17,"47 MySakila Drive",Lethbridge,77642,84794532510,"NELSON CHRISTENSON",NELSON.CHRISTENSON@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-27,0.99,2005-05-24,2006-02-15
7,2005-05-24,2005,5,2,"SWARM GOLD","A Insightful Panorama of a Crocodile And a Boat who must Conquer a Sumo Wrestler in A MySQL Convention",2006,English,NULL,4,PG-13,"28 MySQL Boulevard",Woodridge,75090,685010736240,"CASSANDRA WALTERS",CASSANDRA.WALTERS@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-29,1.99,2005-05-24,2006-02-15
8,2005-05-24,2005,5,2,"LAWLESS VISION","A Insightful Yarn of a Boy And a Sumo Wrestler who must Outgun a Car in The Outback",2006,English,NULL,6,G,"47 MySakila Drive",Lethbridge,22236,63937119031,"MINNIE ROMERO",MINNIE.ROMERO@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-27,4.99,2005-05-24,2006-02-15
9,2005-05-25,2005,5,2,"MATRIX SNOWMAN","A Action-Packed Saga of a Womanizer And a Woman who must Overcome a Student in California",2006,English,NULL,6,PG-13,"47 MySakila Drive",Lethbridge,66255,582835362905,"ELLEN SIMPSON",ELLEN.SIMPSON@sakilacustomer.org,"Mike Hillyer",Mike.Hillyer@sakilastaff.com,Mike,2005-05-28,4.99,2005-05-25,2006-02-15
10,2005-05-25,2005,5,2,"HANGING DEEP","A Action-Packed Yarn of a Boat And a Crocodile who must Build a Monkey in Berlin",2006,English,NULL,5,G,"28 MySQL Boulevard",Woodridge,30586,280578750435,"DANNY ISOM",DANNY.ISOM@sakilacustomer.org,"Jon Stephens",Jon.Stephens@sakilastaff.com,Jon,2005-05-31,5.99,2005-05-25,2006-02-15
